BuildMaxHeap Estimated Times:
Size, Elapsed Time
1000, 0
2000, 0
3000, 0
4000, 0
5000, 0
6000, 0
7000, 0
8000, 0
9000, 0
10000, 0
11000, 0
12000, 0
13000, 0
14000, 0
15000, 0
16000, 0
17000, 0
18000, 0
19000, 0
20000, 0
21000, 0
22000, 0
23000, 0
24000, 0
25000, 1
26000, 0
27000, 0
28000, 0
29000, 1
30000, 1
31000, 1
32000, 1
33000, 1
34000, 1
35000, 1
36000, 1
37000, 1
38000, 1
39000, 1
40000, 1
41000, 1
42000, 1
43000, 1
44000, 1
45000, 1
46000, 1
47000, 1
48000, 1
49000, 1
50000, 1
51000, 1
52000, 1
53000, 1
54000, 1
55000, 1
56000, 1
57000, 1
58000, 1
59000, 1
60000, 1
61000, 2
62000, 2
63000, 2
64000, 4
65000, 3
66000, 3
67000, 2
68000, 2
69000, 2
70000, 2
71000, 3
72000, 2
73000, 2
74000, 2
75000, 2
76000, 2
77000, 2
78000, 2
79000, 2
80000, 2
81000, 2
82000, 2
83000, 2
84000, 2
85000, 2
86000, 2
87000, 2
88000, 3
89000, 2
90000, 2
91000, 3
92000, 3
93000, 3
94000, 3
95000, 3
96000, 3
97000, 3
98000, 3
99000, 3
100000, 3
