HeapSort Estimated Times:
Size, Elapsed Time
1000, 1
2000, 0
3000, 1
4000, 1
5000, 1
6000, 2
7000, 3
8000, 3
9000, 3
10000, 4
11000, 6
12000, 5
13000, 5
14000, 6
15000, 6
16000, 7
17000, 7
18000, 7
19000, 8
20000, 10
21000, 10
22000, 10
23000, 10
24000, 10
25000, 11
26000, 12
27000, 11
28000, 14
29000, 13
30000, 15
31000, 13
32000, 13
33000, 16
34000, 19
35000, 15
36000, 16
37000, 20
38000, 18
39000, 17
40000, 21
41000, 19
42000, 18
43000, 21
44000, 20
45000, 23
46000, 22
47000, 24
48000, 24
49000, 27
50000, 24
51000, 25
52000, 29
53000, 25
54000, 24
55000, 29
56000, 29
57000, 27
58000, 26
59000, 28
60000, 28
61000, 28
62000, 36
63000, 30
64000, 32
65000, 35
66000, 31
67000, 34
68000, 34
69000, 33
70000, 33
71000, 32
72000, 33
73000, 33
74000, 34
75000, 34
76000, 36
77000, 35
78000, 35
79000, 36
80000, 36
81000, 37
82000, 38
83000, 38
84000, 38
85000, 39
86000, 42
87000, 40
88000, 41
89000, 41
90000, 42
91000, 42
92000, 43
93000, 44
94000, 44
95000, 44
96000, 46
97000, 45
98000, 46
99000, 46
100000, 47
